t,x,y
0,-0.9682539055206283,0.3418299580357592
1,-1.3055206094363925,2.0303301562079175
2,-1.5660482189923526,3.495559603342081
3,-1.68825368650214,4.911956162405116
4,-1.9487808416656744,6.377185579090314
5,-2.286046395369293,8.065685717780774
6,-2.423406575393502,9.879790803042354
7,-2.560766450921308,11.693895859979314
8,-2.6981260261978934,13.508000881510503
9,-2.77390202221313,15.496543704402512
10,-2.7113560058941135,17.43625359107154
11,-2.572071376305752,19.152692717497075
12,-2.4327865687006645,20.8691318113493
13,-2.4318231702552384,22.63440375786688
14,-2.56918108557922,24.4485085563417
15,-2.7065386978220562,26.26261331870263
16,-2.567253026548046,27.97905226951553
17,-2.489550547148562,29.52105338002126
18,-2.411847911614054,31.063054465034835
19,-2.472466523522959,32.65388840767057
20,-2.456346940426696,34.021451643171474
21,-2.5018106257273693,35.2145770610249
22,-2.6855955306550574,36.45653535491149
23,-2.80779683956204,37.872931419709936
24,-2.991581405625345,39.11488968810437
25,-2.913877626946906,40.65689059821343
26,-2.7745902221051164,42.373329253742185
27,-2.773623841550294,44.138600766184986
28,-2.8342407131434957,45.72943448151567
29,-2.756536224519405,47.27143527266133
30,-2.5405104589517533,48.76460314953559
31,-2.462805680155145,50.30660389040505
32,-2.3851007445158747,51.848604600825546
33,-2.6456212627323357,53.31383330656283
34,-2.706236975006531,54.90466685336202
35,-2.7668524724554375,56.49550036971226
36,-2.827467755786592,58.086333860570335
37,-2.5498573900330768,59.75393927892704
38,-2.133926008800006,61.372711787261046
39,-1.8411617553338573,62.64260881537738
40,-1.7634555564625911,64.18460930840644
41,-1.5474283757346623,65.6777769013264
42,-1.3929847079975683,66.99650674457796
43,-0.9003157906274171,68.3920085769342
44,-0.4843839987978725,70.01078098613205
45,-0.20677285934990297,71.67838622745988
46,-0.1290659173419201,73.22038656682788
47,-0.051358814245910066,74.76238687433069
48,-0.17355583540447408,76.17878228341422
49,-0.2957526721656663,77.59517767267053
50,-0.41794931391664336,79.01157303997526
51,-0.5401457741003887,80.42796839240955
52,-0.8006625680502045,81.89319657484951
53,-0.9995953977019999,83.53286244322747
54,-1.1369442165731711,85.34696597559186
55,-1.3358764853894391,86.98663179369363
56,-1.5963922548786722,88.45185990673828
57,-1.9952281686786555,89.9659208823619
58,-2.5323841430110847,91.52881474534853
59,-2.7928991142271498,92.99404283573348
60,-3.191734145975868,94.50810381064898
61,-3.5905688837077068,96.02216478414825
62,-3.589595072987505,97.7874352216718
63,-3.7117888036090294,99.20383034184422
64,-3.618925853555214,100.34812199143902
64,-3.1404324844620835,103.90660157805614
65,-3.4644789219477707,101.66685126040895
65,-3.262625536812525,105.32299659555183
66,-3.369666183749776,106.34168343807424
67,-3.4918589046787383,107.75807842299662
68,-3.7523714796026626,109.22330629244955
69,-3.812979823190833,110.81413885284393
70,-3.9967559280207894,112.05609616669872
71,-3.9806279055124616,113.42365816228946
72,-3.964499743540368,114.79122012884747
73,-3.8867874218925778,116.33321968079107
74,-3.7323390811461623,117.65194869625569
75,-3.577890649425695,118.97067769189304
76,-3.3618580885911067,120.46384426087806
77,-3.0075056118262626,121.90817791346733
78,-2.7147371234362123,123.17807396155187
79,-2.4835526396885315,124.27353240654791
80,-2.3906878652193084,125.41782372545279
81,-2.512878407725595,126.83421839030699
82,-2.6350687601749474,128.25061303391772
83,-2.680523334971709,129.44373718707692
84,-2.664393697599647,130.81129890083773
85,-2.509944281598328,132.1300277081164
86,-2.1555910676625,133.574361185093
87,-1.8628219059704698,134.8442570795165
88,-1.5084685903535748,136.28859053100098
89,-1.3540188678594691,137.6073192681762
90,-0.9996654256147993,139.05165269062795
